audio_filepath,texts
F2/Audio/inform_1266_00.wav,ақтөбе облысының әкімі оңдасын оразалин өнеркәсіп кәсіпорындарының жылдық қорытындысын тыңдады.
F2/Audio/inform_725_08.wav,"Түнде бұрқасын көтеріледі.
"
F2/Audio/inform_2460_21.wav,елбасы нұр-сұлтан назарбаев жолаушылар ұшағының апатқа ұшырауына байланысты көңіл айтты.
F2/Audio/inform_4428_02.wav,"олардың плей-офф кезеңіне шығуға мүмкіндігі зор.
"
F2/Audio/inform_968_09.wav,"бұл оқу орындарында жыл сайын түлектерді даярлау жақсы деңгейде, - деді олжас ордабаев."
F2/Audio/inform_1274_08.wav,"оның ішінде он үш мың адамның арнайы дәрежесі анықталып, қазір қалған он бес мың азаматты статусына сай қайта тіркеуге алу жұмыстары жалғасуда."
F2/Audio/inform_1265_11.wav,"өздеріңіз көріп отырғанымыздай, тұрғын үй мәселесі уақытылы және сапалы шешіліп келеді, - деді бекболат орынбеков."
F2/Audio/inform_2434_06.wav,осыған байланысты косырьков кінәлі деп танылды.
F2/Audio/inform_4401_07.wav,"бұл - сайлау, сыбайлас жемқорлыққа қарсы күрес және биржалық сауданы дамыту мәселелері туралы заң жобалары."
F2/Audio/inform_603_06.wav,"батыс қазақстан, ақтөбе, шығыс қазақстан облыстарының кей жерлеріңде бұрқасын, көктайғақ, тұман болып, желдің жылдамдығы секундына он бес-жиырма метрге жетеді."
F2/Audio/inform_3238_6.wav,"сондай-ақ шетелден және қазақстан республикасы өңірлерінен әкелу алты пайыз және жұмыс, оқу орнында жұқтыру көрсеткіші үш пайыз."
F2/Audio/inform_2501_05.wav,шолпан қорғанбектің алаштың маңдайына сыймай кеткен бекзат саттарханов туралы шығарма жазуына халықтың бекзатқа деген сағынышы себеп болған екен.
F2/Audio/inform_2479_01.wav,"бұл туралы бүгін облыс әкімі асқар мырзахметовтың төрағалығымен өткен аппарат мәжілісінде айтылды, деп хабарлайды қазақпарат өңір басшысының ресми сайтына сілтеме жасап."
F2/Audio/inform_1245_17.wav,"мұндай жаңашылдық әкімдердің өздеріне тиесілі аудандағы экономикалық белсенділікті арттыруға мүдделілігін арттыруы тиіс, - дейді әкім."
F2/Audio/inform_2470_2.wav,қазақ мемлекеттік басқару академиясын экономикалық әлеуметтік жоспарлау мамандығы бойынша бітірген.
F2/Audio/inform_647_7.wav,қазіргі лауазымын екі мың он төртінші жылдан бері атқарады.
F2/Audio/inform_3296_08.wav,баспана толық жанып кетті.
F2/Audio/inform_2451_1.wav,"бұл туралы қазақстан республикасы премьер-министрінің орынбасары роман скляр айтты, деп хабарлайды қазақпарат тілшісі."
F2/Audio/inform_953_112.wav,"біз өндірісті екі есе арттырамыз, кәсіпорынның қуаттылығы артады."
F2/Audio/inform_2466_00.wav,"бүгін үкімет отырысында қазақстан республикасы премьер-министрі асқар мамин министрлер кабинеті мен облыс әкімдеріне бірқатар тапсырма берді, деп хабарлайды қазақпарат тілшісі."
F2/Audio/inform_4421_00.wav,"жамбыл облысы аумағында құқықтық тәртіп республикалық жедел-алдын алу іс-шарасы өткізілді, - деп хабарлайды қазақпарат тілшісі."
F2/Audio/inform_625_02.wav,"ведомство мәліметінше, елордалық полиция қызметкерлері балалардың қауіпсіздігін қамтамасыз ету мақсатында білім беру мекемелерінің аумақтарын, оларға іргелес жерлерді қас қарайған уақыттағы жарықтандырылуын, кәріз құдығы қақпақтарының ашық қалмауын,"
F2/Audio/inform_683_02.wav,"олардың бюджетке берешегі екі жүз қырық жеті миллион теңгеден асты, деп хабарлайды қазақпарат тілшісі."
